Data,Produto,Categoria,Vendedor,Regiao,Quantidade,Preco_Unitario,Receita,Custo,Lucro,Avaliacao_Cliente
2024-06-05,Suporte Monitor,Acessorios,Maria Santos,Sul,20,129.00,2580.00,1548.00,1032.00,4.2
2024-06-08,Xbox Series X,Eletronicos,Pedro Lima,Centro-Oeste,5,4499.00,22495.00,17496.00,4999.00,4.9
2024-06-12,Criado Mudo,Moveis,Jose Oliveira,Sudeste,8,290.00,2320.00,1392.00,928.00,4.0
2024-06-15,MacBook Pro 14,Eletronicos,Ana Costa,Nordeste,2,14999.00,29998.00,22499.00,7499.00,5.0
2024-06-18,Webcam 4K,Acessorios,Carlos Silva,Sudeste,11,349.00,3839.00,2303.00,1536.00,4.5
2024-06-22,Smart TV 75,Eletronicos,Maria Santos,Sul,2,7500.00,15000.00,10500.00,4500.00,4.8
2024-06-25,Escrivaninha,Moveis,Pedro Lima,Centro-Oeste,5,750.00,3750.00,2250.00,1500.00,4.3
2024-06-28,Carregador Portatil,Acessorios,Jose Oliveira,Sudeste,28,149.00,4172.00,2503.00,1669.00,4.4
2024-07-01,Monitor Gamer 27,Eletronicos,Ana Costa,Nordeste,6,1890.00,11340.00,7938.00,3402.00,4.7
2024-07-05,Apoio Pes,Moveis,Carlos Silva,Sudeste,15,89.00,1335.00,801.00,534.00,4.0
2024-07-08,iPad Air,Eletronicos,Maria Santos,Sul,4,5299.00,21196.00,14837.00,6359.00,4.8
2024-07-12,Teclado Sem Fio,Acessorios,Pedro Lima,Centro-Oeste,18,189.00,3402.00,2041.00,1361.00,4.2
2024-07-15,Armario Baixo,Moveis,Jose Oliveira,Sudeste,4,890.00,3560.00,2136.00,1424.00,4.1
2024-07-18,Drone DJI Mini,Eletronicos,Ana Costa,Nordeste,3,3899.00,11697.00,8188.00,3509.00,4.9
2024-07-22,Capa Notebook,Acessorios,Carlos Silva,Sudeste,25,69.00,1725.00,1035.00,690.00,4.3
2024-07-25,Pixel 8 Pro,Eletronicos,Maria Santos,Sul,4,6799.00,27196.00,20397.00,6799.00,4.7
2024-07-28,Prateleira Parede,Moveis,Pedro Lima,Centro-Oeste,12,120.00,1440.00,864.00,576.00,3.9
2024-08-01,iMac 24,Eletronicos,Jose Oliveira,Sudeste,2,12499.00,24998.00,18749.00,6249.00,4.9
2024-08-05,Suporte Celular,Acessorios,Ana Costa,Nordeste,40,29.00,1160.00,696.00,464.00,4.1
2024-08-08,Notebook Samsung,Eletronicos,Carlos Silva,Sudeste,3,4100.00,12300.00,8610.00,3690.00,4.5
2024-08-12,Mesa Reuniao,Moveis,Maria Santos,Sul,2,2800.00,5600.00,3360.00,2240.00,4.4
2024-08-15,Controle Pro Xbox,Acessorios,Pedro Lima,Centro-Oeste,14,449.00,6286.00,3772.00,2514.00,4.6
2024-08-18,GoPro Hero 12,Eletronicos,Jose Oliveira,Sudeste,5,2899.00,14495.00,10147.00,4348.00,4.8
2024-08-22,Organizador Mesa,Moveis,Ana Costa,Nordeste,20,89.00,1780.00,1068.00,712.00,4.0
2024-08-25,OnePlus 12,Eletronicos,Carlos Silva,Sudeste,3,5999.00,17997.00,12598.00,5399.00,4.6
2024-08-28,Mousepad Gamer,Acessorios,Maria Santos,Sul,30,79.00,2370.00,1422.00,948.00,4.3
2024-09-01,Ultrabook Dell,Eletronicos,Pedro Lima,Centro-Oeste,2,6200.00,12400.00,8680.00,3720.00,4.7
2024-09-05,Cadeira Visitante,Moveis,Jose Oliveira,Sudeste,10,320.00,3200.00,1920.00,1280.00,4.0
2024-09-08,Apple Watch Ultra,Eletronicos,Ana Costa,Nordeste,4,6299.00,25196.00,17637.00,7559.00,4.9
2024-09-12,Suporte Headset,Acessorios,Carlos Silva,Sudeste,22,59.00,1298.00,779.00,519.00,4.2
2024-09-15,Smart TV 50,Eletronicos,Maria Santos,Sul,6,2899.00,17394.00,12176.00,5218.00,4.6
2024-09-18,Estacao Docking,Acessorios,Pedro Lima,Centro-Oeste,8,599.00,4792.00,2875.00,1917.00,4.5
2024-09-22,Painel TV,Moveis,Jose Oliveira,Sudeste,5,680.00,3400.00,2040.00,1360.00,4.1
2024-09-25,Surface Pro 9,Eletronicos,Ana Costa,Nordeste,2,8999.00,17998.00,12599.00,5399.00,4.8
2024-09-28,Filtro Linha,Acessorios,Carlos Silva,Sudeste,35,45.00,1575.00,945.00,630.00,4.0
2024-10-01,Notebook MSI,Eletronicos,Maria Santos,Sul,2,9500.00,19000.00,13300.00,5700.00,4.9
2024-10-05,Mesa Lateral,Moveis,Pedro Lima,Centro-Oeste,8,280.00,2240.00,1344.00,896.00,4.2
2024-10-08,Galaxy Tab S9,Eletronicos,Jose Oliveira,Sudeste,5,4599.00,22995.00,16096.00,6899.00,4.7
2024-10-12,Adaptador USB,Acessorios,Ana Costa,Nordeste,50,25.00,1250.00,750.00,500.00,4.1
2024-10-15,Home Theater,Eletronicos,Carlos Silva,Sudeste,3,2500.00,7500.00,5250.00,2250.00,4.5
2024-10-18,Poltrona Reclinavel,Moveis,Maria Santos,Sul,4,1800.00,7200.00,4320.00,2880.00,4.4
2024-10-22,Magic Keyboard,Acessorios,Pedro Lima,Centro-Oeste,10,899.00,8990.00,5394.00,3596.00,4.6
2024-10-25,iPhone 15 Pro Max,Eletronicos,Jose Oliveira,Sudeste,4,10999.00,43996.00,35197.00,8799.00,5.0
2024-10-28,Luminaria LED,Acessorios,Ana Costa,Nordeste,25,99.00,2475.00,1485.00,990.00,4.3
2024-11-01,Chromebook,Eletronicos,Carlos Silva,Sudeste,5,2200.00,11000.00,7700.00,3300.00,4.2
2024-11-05,Sofa 2 Lugares,Moveis,Maria Santos,Sul,3,2500.00,7500.00,4500.00,3000.00,4.5
2024-11-08,Switch OLED,Eletronicos,Pedro Lima,Centro-Oeste,8,2599.00,20792.00,14554.00,6238.00,4.8
2024-11-12,Ring Light,Acessorios,Jose Oliveira,Sudeste,15,189.00,2835.00,1701.00,1134.00,4.4
2024-11-15,Monitor 4K 32,Eletronicos,Ana Costa,Nordeste,4,3200.00,12800.00,8960.00,3840.00,4.7
2024-11-18,Rack TV,Moveis,Carlos Silva,Sudeste,6,750.00,4500.00,2700.00,1800.00,4.1
2024-11-22,Samsung Galaxy Buds,Acessorios,Maria Santos,Sul,18,699.00,12582.00,8807.00,3775.00,4.5
2024-11-25,Mac Mini M2,Eletronicos,Pedro Lima,Centro-Oeste,3,5999.00,17997.00,12598.00,5399.00,4.8
2024-11-28,Mesa Centro,Moveis,Jose Oliveira,Sudeste,7,420.00,2940.00,1764.00,1176.00,4.0
2024-12-01,Notebook Vaio,Eletronicos,Ana Costa,Nordeste,2,5800.00,11600.00,8120.00,3480.00,4.6
2024-12-05,Suporte Notebook,Acessorios,Carlos Silva,Sudeste,20,149.00,2980.00,1788.00,1192.00,4.3
2024-12-08,iPad Pro 12.9,Eletronicos,Maria Santos,Sul,3,9899.00,29697.00,20788.00,8909.00,4.9
2024-12-12,Balcao Cozinha,Moveis,Pedro Lima,Centro-Oeste,4,890.00,3560.00,2136.00,1424.00,4.2
2024-12-15,Galaxy Z Fold 5,Eletronicos,Jose Oliveira,Sudeste,2,12499.00,24998.00,18749.00,6249.00,4.9
2024-12-18,Caixa Organizadora,Moveis,Ana Costa,Nordeste,30,49.00,1470.00,882.00,588.00,3.9
2024-12-22,Steam Deck,Eletronicos,Carlos Silva,Sudeste,6,3499.00,20994.00,14696.00,6298.00,4.8
2024-12-25,Cabo Lightning,Acessorios,Maria Santos,Sul,60,35.00,2100.00,1260.00,840.00,4.2
2024-12-28,Vision Pro,Eletronicos,Pedro Lima,Centro-Oeste,1,25999.00,25999.00,20799.00,5200.00,5.0
2024-12-31,Estante Industrial,Moveis,Jose Oliveira,Sudeste,3,1200.00,3600.00,2160.00,1440.00,4.4
